fecha,hora,numero,signo,extraido_en,fecha_raw,hora_num,ultimo_digito,penultimo_digito,suma_digitos,paridad,signo_cod,rango_mil,año,mes,dia_mes,dia_semana,dias_desde_inicio
2025-10-04,10 pm,357,CAP,2025-12-20 04:55:42,04/10/2025,22,7,5,15,1,7,0-999,2025,10,4,5,275
2025-10-04,4 pm,987,PIC,2025-12-20 04:55:42,04/10/2025,16,7,8,24,1,4,0-999,2025,10,4,5,275
2025-01-05,1 pm,535,CAN,2025-12-20 03:18:01,05/01/2025,13,5,3,13,1,3,0-999,2025,1,5,6,3
2025-01-05,10 pm,140,SAG,2025-12-20 03:18:01,05/01/2025,22,0,4,5,0,11,0-999,2025,1,5,6,3
2025-01-05,4 pm,523,LEO,2025-12-20 03:18:01,05/01/2025,16,3,2,10,1,10,0-999,2025,1,5,6,3
2025-02-05,1 pm,949,ACU,2025-12-20 03:29:08,05/02/2025,13,9,4,22,1,8,0-999,2025,2,5,2,34
2025-02-05,10 pm,332,CAP,2025-12-20 03:29:09,05/02/2025,22,2,3,8,0,7,0-999,2025,2,5,2,34
2025-02-05,4 pm,780,GEM,2025-12-20 03:29:09,05/02/2025,16,0,8,15,0,5,0-999,2025,2,5,2,34
2025-03-05,1 pm,564,ARI,2025-12-20 03:39:12,05/03/2025,13,4,6,15,0,9,0-999,2025,3,5,2,62
2025-03-05,10 pm,922,ARI,2025-12-20 03:39:12,05/03/2025,22,2,2,13,0,9,0-999,2025,3,5,2,62
2025-03-05,4 pm,996,LIB,2025-12-20 03:39:12,05/03/2025,16,6,9,24,0,2,0-999,2025,3,5,2,62
2025-04-05,1 pm,256,CAP,2025-12-20 03:50:20,05/04/2025,13,6,5,13,0,7,0-999,2025,4,5,5,93
2025-04-05,10 pm,860,CAN,2025-12-20 03:50:20,05/04/2025,22,0,6,14,0,3,0-999,2025,4,5,5,93
2025-04-05,4 pm,792,PIC,2025-12-20 03:50:20,05/04/2025,16,2,9,18,0,4,0-999,2025,4,5,5,93
2025-05-05,1 pm,822,LIB,2025-12-20 04:01:06,05/05/2025,13,2,2,12,0,2,0-999,2025,5,5,0,123
2025-05-05,10 pm,163,PIC,2025-12-20 04:01:06,05/05/2025,22,3,6,10,1,4,0-999,2025,5,5,0,123
2025-05-05,4 pm,526,SAG,2025-12-20 04:01:06,05/05/2025,16,6,2,13,0,11,0-999,2025,5,5,0,123
2025-06-05,1 pm,271,VIR,2025-12-20 04:12:13,05/06/2025,13,1,7,10,1,6,0-999,2025,6,5,3,154
2025-06-05,10 pm,61,GEM,2025-12-20 04:12:14,05/06/2025,22,1,6,7,1,5,0-999,2025,6,5,3,154
2025-06-05,4 pm,266,ESC,2025-12-20 04:12:14,05/06/2025,16,6,6,14,0,1,0-999,2025,6,5,3,154
2025-07-05,1 pm,456,PIC,2025-12-20 04:23:00,05/07/2025,13,6,5,15,0,4,0-999,2025,7,5,5,184
2025-07-05,10 pm,989,LIB,2025-12-20 04:23:00,05/07/2025,22,9,8,26,1,2,0-999,2025,7,5,5,184
2025-07-05,4 pm,348,SAG,2025-12-20 04:23:00,05/07/2025,16,8,4,15,0,11,0-999,2025,7,5,5,184
2025-08-05,1 pm,838,ARI,2025-12-20 04:34:07,05/08/2025,13,8,3,19,0,9,0-999,2025,8,5,1,215
2025-08-05,10 pm,509,LEO,2025-12-20 04:34:07,05/08/2025,22,9,0,14,1,10,0-999,2025,8,5,1,215
2025-08-05,4 pm,57,ARI,2025-12-20 04:34:07,05/08/2025,16,7,5,12,1,9,0-999,2025,8,5,1,215
2025-09-05,1 pm,7,PIC,2025-12-20 04:45:16,05/09/2025,13,7,0,7,1,4,0-999,2025,9,5,4,246
2025-09-05,10 pm,484,VIR,2025-12-20 04:45:16,05/09/2025,22,4,8,16,0,6,0-999,2025,9,5,4,246
2025-09-05,4 pm,996,SAG,2025-12-20 04:45:16,05/09/2025,16,6,9,24,0,11,0-999,2025,9,5,4,246
2025-10-05,1 pm,51,ARI,2025-12-20 04:56:03,05/10/2025,13,1,5,6,1,9,0-999,2025,10,5,6,276
2025-10-05,10 pm,758,SAG,2025-12-20 04:56:03,05/10/2025,22,8,5,20,0,11,0-999,2025,10,5,6,276
