fecha,hora,numero,signo,extraido_en,fecha_raw,hora_num,ultimo_digito,penultimo_digito,suma_digitos,paridad,signo_cod,rango_mil,año,mes,dia_mes,dia_semana,dias_desde_inicio
2025-08-03,10 pm,4997,CAP,2025-12-20 06:32:57,03/08/2025,22,7,9,29,1,4,4000-4999,2025,8,3,6,213
2025-08-03,4 pm,7014,ACU,2025-12-20 06:32:57,03/08/2025,16,4,1,12,0,7,7000-7999,2025,8,3,6,213
2025-09-03,1 pm,3261,LIB,2025-12-20 06:44:05,03/09/2025,13,1,6,12,1,10,3000-3999,2025,9,3,2,244
2025-09-03,10 pm,6142,PIC,2025-12-20 06:44:05,03/09/2025,22,2,4,13,0,8,6000-6999,2025,9,3,2,244
2025-09-03,4 pm,1285,LIB,2025-12-20 06:44:05,03/09/2025,16,5,8,16,1,10,1000-1999,2025,9,3,2,244
2025-10-03,1 pm,8095,ARI,2025-12-20 06:54:51,03/10/2025,13,5,9,22,1,9,8000-8999,2025,10,3,4,274
2025-10-03,10 pm,7043,TAU,2025-12-20 06:54:51,03/10/2025,22,3,4,14,1,3,7000-7999,2025,10,3,4,274
2025-10-03,4 pm,1961,LIB,2025-12-20 06:54:51,03/10/2025,16,1,6,17,1,10,1000-1999,2025,10,3,4,274
2025-01-04,1 pm,731,LEO,2025-12-20 05:16:03,04/01/2025,13,1,3,11,1,1,0-999,2025,1,4,5,2
2025-01-04,10 pm,4395,ACU,2025-12-20 05:16:03,04/01/2025,22,5,9,21,1,7,4000-4999,2025,1,4,5,2
2025-01-04,4 pm,8574,LEO,2025-12-20 05:16:03,04/01/2025,16,4,7,24,0,1,8000-8999,2025,1,4,5,2
2025-02-04,1 pm,1922,VIR,2025-12-20 05:27:11,04/02/2025,13,2,2,14,0,11,1000-1999,2025,2,4,1,33
2025-02-04,10 pm,8870,SAG,2025-12-20 05:27:11,04/02/2025,22,0,7,23,0,6,8000-8999,2025,2,4,1,33
2025-02-04,4 pm,7167,CAN,2025-12-20 05:27:11,04/02/2025,16,7,6,21,1,5,7000-7999,2025,2,4,1,33
2025-03-04,1 pm,4186,TAU,2025-12-20 05:37:14,04/03/2025,13,6,8,19,0,3,4000-4999,2025,3,4,1,61
2025-03-04,10 pm,1263,ARI,2025-12-20 05:37:14,04/03/2025,22,3,6,12,1,9,1000-1999,2025,3,4,1,61
2025-03-04,4 pm,1032,ESC,2025-12-20 05:37:14,04/03/2025,16,2,3,6,0,2,1000-1999,2025,3,4,1,61
2025-04-04,1 pm,3144,VIR,2025-12-20 05:49:32,04/04/2025,13,4,4,12,0,11,3000-3999,2025,4,4,4,92
2025-04-04,10 pm,4749,SAG,2025-12-20 05:49:32,04/04/2025,22,9,4,24,1,6,4000-4999,2025,4,4,4,92
2025-04-04,4 pm,8391,ESC,2025-12-20 05:49:32,04/04/2025,16,1,9,21,1,2,8000-8999,2025,4,4,4,92
2025-05-04,1 pm,881,SAG,2025-12-20 06:00:17,04/05/2025,13,1,8,17,1,6,0-999,2025,5,4,6,122
2025-05-04,10 pm,3578,GEM,2025-12-20 06:00:17,04/05/2025,22,8,7,23,0,0,3000-3999,2025,5,4,6,122
2025-05-04,4 pm,5958,VIR,2025-12-20 06:00:17,04/05/2025,16,8,5,27,0,11,5000-5999,2025,5,4,6,122
2025-06-04,1 pm,8132,ARI,2025-12-20 06:11:25,04/06/2025,13,2,3,14,0,9,8000-8999,2025,6,4,2,153
